solver,seed,wave_interval,simulation_duration,waves,total_sorties_completed,total_missed_sorties,completion_rate,runtime_seconds,wave_sorties
random,10007,60.0,720.0,12,99,141,0.4125,18.6369,13;10;9;11;10;10;9;6;5;5;5;6
fifo,10007,60.0,720.0,12,113,127,0.4708,19.1430,11;14;9;12;9;8;9;8;8;8;9;8
spt,10007,60.0,720.0,12,118,122,0.4917,23.7780,20;13;10;10;9;9;9;9;8;7;7;7
edd,10007,60.0,720.0,12,106,134,0.4417,19.0998,11;12;11;10;10;10;11;8;6;6;6;5
heuristic,10007,60.0,720.0,12,118,122,0.4917,22.4179,20;11;10;8;10;9;8;8;9;8;9;8
cp_sat,10007,60.0,720.0,12,119,121,0.4958,31.1038,20;11;10;10;9;9;10;9;9;8;7;7
rl_bc_ppo,10007,60.0,720.0,12,120,120,0.5000,24.1559,20;12;10;10;9;10;10;9;9;6;8;7
