solver,scenario_profile,spatial_graph_enabled,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
random,project_core,True,60.0,720.0,12,1,10007,66,0.0,5.5,0.275,1,174,1.6065148329362273,11.00;9.00;10.00;3.00;3.00;1.00;6.00;4.00;6.00;4.00;4.00;5.00
fifo,project_core,True,60.0,720.0,12,1,10007,74,0.0,6.166666666666667,0.30833333333333335,4,166,1.8348581669852138,15.00;8.00;6.00;5.00;5.00;5.00;7.00;5.00;4.00;5.00;4.00;5.00
spt,project_core,True,60.0,720.0,12,1,10007,90,0.0,7.5,0.375,5,150,2.891883249860257,16.00;8.00;8.00;6.00;6.00;6.00;7.00;6.00;5.00;9.00;6.00;7.00
edd,project_core,True,60.0,720.0,12,1,10007,53,0.0,4.416666666666667,0.22083333333333333,2,187,1.4367954996414483,15.00;7.00;3.00;4.00;4.00;4.00;2.00;3.00;2.00;3.00;2.00;4.00
heuristic,project_core,True,60.0,720.0,12,1,10007,93,0.0,7.75,0.3875,4,147,2.755857542157173,16.00;8.00;9.00;7.00;7.00;4.00;8.00;5.00;9.00;5.00;9.00;6.00
sampled,project_core,True,60.0,720.0,12,1,10007,77,0.0,6.416666666666667,0.32083333333333336,4,163,58.04411908285692,11.00;7.00;9.00;8.00;7.00;4.00;6.00;4.00;4.00;6.00;6.00;5.00
cp_sat,project_core,True,60.0,720.0,12,1,10007,86,0.0,7.166666666666667,0.35833333333333334,5,154,6.2433956251479685,16.00;8.00;8.00;6.00;5.00;7.00;6.00;6.00;7.00;6.00;5.00;6.00
