solver,scenario_profile,spatial_graph_enabled,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
random,project_core,True,60.0,720.0,12,1,10007,148,0.0,12.333333333333334,0.6166666666666667,8,92,4.450810374997673,20.00;20.00;12.00;12.00;10.00;11.00;8.00;12.00;10.00;13.00;9.00;11.00
fifo,project_core,True,60.0,720.0,12,1,10007,139,0.0,11.583333333333334,0.5791666666666667,8,101,4.163730958011001,20.00;20.00;12.00;10.00;10.00;9.00;11.00;11.00;8.00;10.00;9.00;9.00
spt,project_core,True,60.0,720.0,12,1,10007,146,0.0,12.166666666666666,0.6083333333333333,10,94,4.188425416010432,20.00;15.00;13.00;12.00;11.00;10.00;11.00;11.00;11.00;11.00;10.00;11.00
edd,project_core,True,60.0,720.0,12,1,10007,141,0.0,11.75,0.5875,6,99,4.704764750000322,20.00;20.00;18.00;6.00;11.00;9.00;10.00;10.00;8.00;11.00;9.00;9.00
heuristic,project_core,True,60.0,720.0,12,1,10007,147,0.0,12.25,0.6125,9,93,4.376729750001687,20.00;16.00;11.00;13.00;12.00;13.00;12.00;9.00;11.00;9.00;9.00;12.00
sampled,project_core,True,60.0,720.0,12,1,10007,148,0.0,12.333333333333334,0.6166666666666667,8,92,150.1347251249972,20.00;20.00;12.00;12.00;10.00;11.00;8.00;12.00;10.00;13.00;9.00;11.00
cp_sat,project_core,True,60.0,720.0,12,1,10007,146,0.0,12.166666666666666,0.6083333333333333,8,94,12.163866666000104,20.00;16.00;11.00;11.00;14.00;11.00;10.00;12.00;10.00;13.00;8.00;10.00
