planner,sum_of_costs,makespan,expanded_nodes,routes
prioritized_cooperative_astar,11.0,8.0,,first:deck_pathway_middle_3>deck_pathway_south_3>deck_pathway_south_4>deck_parking_42|second:deck_pathway_south_4>deck_pathway_south_4>deck_pathway_south_4>deck_pathway_south_3>deck_pathway_middle_3>deck_pathway_middle_2>deck_pathway_middle_1>deck_pathway_north_1>deck_parking_7
cbs,10.0,6.0,3,first:deck_pathway_middle_3>deck_pathway_middle_3>deck_pathway_south_3>deck_pathway_south_4>deck_parking_42|second:deck_pathway_south_4>deck_pathway_south_3>deck_pathway_south_2>deck_pathway_middle_2>deck_pathway_middle_1>deck_pathway_north_1>deck_parking_7
