solver,scenario_profile,spatial_graph_enabled,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
random,project_core,True,60.0,720.0,12,1,10007,97,0.0,8.083333333333334,0.4041666666666667,4,144,13.508715208008653,13.00;10.00;8.00;12.00;11.00;11.00;7.00;4.00;7.00;5.00;5.00;4.00
fifo,project_core,True,60.0,720.0,12,1,10007,113,0.0,9.416666666666666,0.4708333333333333,8,127,14.860731374996249,11.00;14.00;9.00;12.00;9.00;8.00;9.00;8.00;8.00;8.00;9.00;8.00
spt,project_core,True,60.0,720.0,12,1,10007,118,0.0,9.833333333333334,0.49166666666666664,7,122,18.771156125003472,20.00;13.00;10.00;10.00;9.00;9.00;9.00;9.00;8.00;7.00;7.00;7.00
edd,project_core,True,60.0,720.0,12,1,10007,106,0.0,8.833333333333334,0.44166666666666665,5,134,15.113754666992463,11.00;12.00;11.00;10.00;10.00;10.00;11.00;8.00;6.00;6.00;6.00;5.00
heuristic,project_core,True,60.0,720.0,12,1,10007,118,0.0,9.833333333333334,0.49166666666666664,8,122,16.605742249987088,20.00;11.00;10.00;8.00;10.00;9.00;8.00;8.00;9.00;8.00;9.00;8.00
sampled,project_core,True,60.0,720.0,12,1,10007,101,0.0,8.416666666666666,0.42083333333333334,5,139,443.77437954201014,12.00;10.00;11.00;11.00;10.00;10.00;8.00;6.00;5.00;5.00;5.00;8.00
cp_sat,project_core,True,60.0,720.0,12,1,10007,119,0.0,9.916666666666666,0.49583333333333335,7,121,28.63942279201001,20.00;11.00;10.00;10.00;9.00;9.00;10.00;9.00;9.00;8.00;7.00;7.00
