solver,scenario_profile,spatial_graph_enabled,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
random,project_core,True,60.0,720.0,12,5,20001,98.4,0.8944271909999159,8.200000000000001,0.41000000000000003,4,141.6,17.189031575003174,12.80;11.40;10.60;10.80;9.80;9.80;7.00;5.40;4.60;5.00;6.00;5.20
fifo,project_core,True,60.0,720.0,12,5,20001,113.4,0.5477225575051661,9.450000000000001,0.47250000000000003,6.8,126.6,17.57648540821392,11.00;14.00;9.00;11.80;9.00;8.60;8.60;8.40;9.40;9.20;7.20;7.20
spt,project_core,True,60.0,720.0,12,5,20001,118.2,0.8366600265340756,9.85,0.4925,6.2,121.8,21.642937200178856,20.00;13.00;10.00;10.00;9.20;9.20;9.00;8.60;7.40;7.60;7.00;7.20
edd,project_core,True,60.0,720.0,12,5,20001,107.4,1.140175425099138,8.950000000000001,0.4475,5.2,132.6,17.687917224992997,11.00;12.60;10.00;9.60;9.80;10.40;11.40;8.00;6.00;6.60;5.80;6.20
heuristic,project_core,True,60.0,720.0,12,5,20001,117.8,0.8366600265340756,9.816666666666666,0.49083333333333334,8,122.2,20.18053669979563,20.00;11.00;9.00;8.40;9.00;8.00;9.20;8.80;8.60;8.40;8.20;9.20
cp_sat,project_core,True,60.0,720.0,12,5,20001,119.6,0.5477225575051661,9.966666666666667,0.4983333333333333,6.6,120.4,24.26864556678338,20.00;11.00;10.00;10.00;9.00;9.40;9.00;9.60;8.80;8.20;7.00;7.60
rl_fixed_seed,project_core,True,60.0,720.0,12,5,20001,120,0.7071067811865476,10.0,0.5,7,120,26.281732733000535,20.00;12.00;10.00;10.00;9.20;9.40;9.60;9.40;8.00;7.80;7.20;7.40
