case,runs,seed_start,fidelity,published_success_rate,replication_mean_success_rate,replication_std_success_rate,replication_ci95_low,replication_ci95_high,absolute_gap,mean_sortie_generation_rate_per_hour,mean_cancelled_fixed_missions,mean_maintenance_completed,preparation_lead_minutes,movement_minutes_per_graph_unit
case_1_1,100,10007,structural_replication_with_explicit_assumptions,0.747,0.3489285714285714,0.051481604450368174,0.33883817695629925,0.3590189659008436,0.3980714285714286,0.8141666666666667,18.23,14.04,50.0,1.0
case_1_2,100,10007,structural_replication_with_explicit_assumptions,0.5,0.3217857142857143,0.039806983804301976,0.3139835454600711,0.32958788311135745,0.17821428571428571,0.7508333333333334,18.99,12.49,50.0,1.0
case_2_1,100,10007,structural_replication_with_explicit_assumptions,0.817,0.5828571428571429,0.05785095187157182,0.5715183562903148,0.5941959294239709,0.2341428571428571,1.36,11.68,25.66,50.0,1.0
case_2_2,100,10007,structural_replication_with_explicit_assumptions,0.578,0.3607142857142857,0.05012353323337407,0.3508900732005444,0.37053849822802704,0.21728571428571425,0.8416666666666667,17.9,15.32,50.0,1.0
case_3_1,100,10007,structural_replication_with_explicit_assumptions,0.854,0.8185714285714285,0.04113920939417049,0.8105081435301711,0.8266347136126859,0.035428571428571476,1.91,5.08,35.96,50.0,1.0
case_3_2,100,10007,structural_replication_with_explicit_assumptions,0.87,0.3817857142857143,0.059349311322740815,0.3701532492664571,0.39341817930497147,0.4882142857142857,0.8908333333333334,17.31,15.85,50.0,1.0
case_4_1,100,10007,structural_replication_with_explicit_assumptions,0.855,0.8535714285714285,0.0327011795015977,0.8471619973891154,0.8599808597537417,0.0014285714285714457,1.9916666666666667,4.1,38.61,50.0,1.0
case_4_2,100,10007,structural_replication_with_explicit_assumptions,0.868,0.545,0.05911548257736349,0.5334133654148367,0.5565866345851633,0.32299999999999995,1.2716666666666667,12.74,20.83,50.0,1.0
