solver,scenario_profile,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
random,project_core,60.0,720.0,12,1,10007,143,0.0,11.916666666666666,0.5958333333333333,5,97,0.14144879207015038,20.00;20.00;20.00;8.00;11.00;7.00;5.00;14.00;12.00;7.00;10.00;9.00
fifo,project_core,60.0,720.0,12,1,10007,152,0.0,12.666666666666666,0.6333333333333333,8,88,0.1484852908179164,20.00;20.00;20.00;15.00;10.00;10.00;9.00;10.00;10.00;8.00;9.00;11.00
spt,project_core,60.0,720.0,12,1,10007,157,0.0,13.083333333333334,0.6541666666666667,8,83,0.17541433405131102,20.00;20.00;20.00;8.00;12.00;10.00;13.00;10.00;13.00;8.00;14.00;9.00
edd,project_core,60.0,720.0,12,1,10007,158,0.0,13.166666666666666,0.6583333333333333,8,82,0.17290899995714426,20.00;20.00;20.00;17.00;11.00;8.00;11.00;8.00;12.00;9.00;11.00;11.00
heuristic,project_core,60.0,720.0,12,1,10007,157,0.0,13.083333333333334,0.6541666666666667,8,83,0.18246449995785952,20.00;20.00;20.00;13.00;10.00;9.00;13.00;8.00;12.00;11.00;12.00;9.00
sampled,project_core,60.0,720.0,12,1,10007,143,0.0,11.916666666666666,0.5958333333333333,5,97,4.414160707965493,20.00;20.00;20.00;8.00;11.00;7.00;5.00;14.00;12.00;7.00;10.00;9.00
cp_sat,project_core,60.0,720.0,12,1,10007,162,0.0,13.5,0.675,9,78,9.484944290947169,20.00;20.00;20.00;17.00;13.00;11.00;10.00;9.00;10.00;10.00;11.00;11.00
