solver,scenario_profile,spatial_graph_enabled,wave_interval,simulation_duration,waves,runs,seed_start,mean_total_sorties,std_total_sorties,mean_sorties_per_wave,completion_rate,mean_worst_wave,mean_missed_sorties,mean_runtime_seconds,wave_means
heuristic,project_core,True,60.0,720.0,12,5,41001,118.2,0.8366600265340756,9.85,0.4925,7.2,121.8,59.29071429409087,20.00;11.20;9.40;9.00;9.80;9.40;8.60;8.60;8.40;7.80;7.80;8.20
cp_sat,project_core,True,60.0,720.0,12,5,41001,119.4,0.5477225575051661,9.950000000000001,0.4975,7,120.6,59.597264629602435,20.00;11.00;10.00;10.00;9.20;9.60;8.80;9.00;9.00;8.40;7.40;7.00
rl,project_core,True,60.0,720.0,12,5,41001,120,0.7071067811865476,10.0,0.5,6.8,120,63.02509694099426,20.00;12.00;10.00;9.80;9.80;9.60;9.80;9.00;8.20;6.80;7.60;7.40
rl_beam,project_core,True,60.0,720.0,12,5,41001,120,0.7071067811865476,10.0,0.5,6.6,120,246.0096323866397,20.00;12.00;10.00;9.80;10.00;9.40;9.80;9.40;7.80;7.20;7.40;7.20
